,Age,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,NRM_Height,NRM_Weight,Preferred Foot_Right,International Reputation_2,International Reputation_3,International Reputation_4,International Reputation_5,Weak Foot_2,Weak Foot_3,Weak Foot_4,Weak Foot_5,Skill Moves_2,Skill Moves_3,Skill Moves_4,Skill Moves_5,Asia,Cannot Find,Europe,North America,Oceania,South America,Allsvenskan,Bundesliga,Bundesliga 2,CSL,Calcio B,Camp. Scotiabank,Domino’s Ligue 2,EFL Championship,EFL League One,EFL League Two,Ekstraklasa,Eliteserien,Eredivisie,Hyundai A-League,K-League 1,LIGA Bancomer MX,LaLiga 1 I 2 I 3,LaLiga Santander,Liga Dimayor,Liga NOS,Liga do Brasil,Ligue 1 Conforama,MLS,Meiji Yasuda J1,Premier League,Pro League,RSL,Rest of World,SAF,SSE Airtricity Lge,Saudi Professional League,Scottish Prem,Serie A TIM,Super Lig,Superliga,NRM_Position_ATT,NRM_Position_DEF,NRM_Position_GK,NRM_Position_MID,2019,2020,2021,2022,2023,2024,2025,2026,High-Low,High-Medium,Low-High,Low-Low,Low-Medium,Medium-High,Medium-Low,Medium-Medium,NRM_Value_Mil
40,1.7031399334056005,-2.0518958284626274,-1.8204334298734919,-2.429284717720907,-1.5402472854938336,-1.744955681803416,-2.292213363588192,-1.9117406593184434,-1.6498948662457222,-1.2180228607471582,-2.5362839009682907,-0.9107259489131884,-0.6626332105089111,-1.119245628067294,2.3480478836923866,-1.9796254682767773,-1.9401958284298897,1.09296814324823,-1.3924727365262197,0.45778167773425876,-1.4577186869212866,-1.7708081000168034,-1.1876774562535017,-1.9429586461598238,-0.880035027647749,-1.6256471416436515,0.9104345822082016,-1.1166454924615,-1.7364177654810382,-1.531205870056454,3.9789474966450893,4.118496646430708,3.2008539101892133,4.269820611914329,4.029971798151343,1.3459449131521395,2.3738793215288703,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0
41,3.204825289255971,-1.997429404960715,-1.564291541978229,-2.256591528411671,-1.4722289267613464,-1.4622857285108255,-1.5521280024850934,-1.4765017061618788,-1.7071654065862105,-1.1527398205470372,-1.817305216561341,-1.0446133151017154,-1.481480509884939,-0.5770529829586065,1.9061034518707238,-1.0601810998416574,-0.953111990179436,0.8393169089415593,-1.5181771861362878,0.29859365968007523,-1.7694442687710714,-1.0227298480994997,-0.8977675383216088,-1.9429586461598238,-0.24163514054592672,-1.6894068795896193,0.9977612365517934,-1.7208209427072327,-1.6902208501782567,-1.6252612234415669,4.035477948355465,4.177661879005793,3.5041180161544085,4.328615163757896,3.6955185831081843,1.3459449131521395,2.3738793215288703,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0
62,-0.013071901851965948,-0.7447016644167263,-0.283582102501916,1.7729162221371702,1.1124687050731648,-0.04893596204787293,0.08663243995748157,-0.06197510840304388,0.6409267473738149,1.52386482765792,1.1185244114337032,1.2314719101032463,1.3844850379311586,-0.03486033784991921,2.3480478836923866,-1.696719508758279,-0.19828317269379497,1.1775185546837872,0.6187984572348687,1.4925037950864517,0.3087262768941601,1.2215049076524114,1.7114217230654267,-0.30465663747809985,0.18396478418862144,-0.3504523827242979,2.045681088674894,2.0049276671414535,1.866941628135916,1.9488422051927314,-0.31736683334347204,-0.31889579670076695,-0.43831536139313376,-0.6689217429452361,-0.1506933898881377,1.123015504684565,0.8370102290253276,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50.0
63,-0.013071901851965948,1.2160895816521258,0.7409854490791346,0.16111312191763358,2.132744086060472,1.1948118324395252,1.831119362557642,1.4069563585003617,1.2136321507786993,2.372544350259492,1.777588205473407,0.2942603467835561,-0.18497228587289485,1.5917175974761428,2.569020099603218,2.122510944741449,0.03397184807101764,-0.0907376168495671,0.8702073564550047,-1.0545044937804848,0.568497595102314,1.9120386786529993,1.8080583623760578,1.0776606823471047,2.3828977286504536,0.9885021141410235,3.0062742864544036,1.5517960794571537,1.6359570516220086,1.6196484683448356,-0.26083638163309625,-0.25973056412568063,-0.07439843423489911,-0.08097622450957352,-0.37366219991690997,-0.6604197630560255,-2.1726917437941107,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,55.0
64,0.41598105696242565,1.8696866636750764,0.4848435611838719,1.369965447082286,1.5205788574680874,1.4209477950735976,1.3024869617697146,1.6789807042232145,0.9272794490762571,1.1974496266573156,1.3581839729026863,1.2314719101032463,1.4527223128791609,1.0495249523674555,2.4585339916478026,0.9908871066674558,1.4275019726598934,1.1775185546837872,1.812990728530515,1.0945337499509928,1.2958572860851452,1.5092273122359896,1.7114217230654267,1.026463744575801,1.1770312752359005,0.7334631623571528,2.045681088674894,1.702839942018587,1.68215396692479,1.8077591751150617,-0.5434886401849752,-0.5555567270011122,-0.43831536139313376,-0.25735988004027227,-0.6523732124528753,-1.5298444560795639,0.6449015924623847,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
65,0.41598105696242565,1.8696866636750764,1.0995840921325022,-0.12670886026442651,1.724633933665549,1.8732197203417424,1.9368458427152275,2.005409919090638,2.015419715545537,1.0016005060569528,1.9573328765751443,2.168683473422936,1.930383237515177,1.9983620813076584,2.4585339916478026,1.9103314751025755,1.7758845038071123,-0.34438885115623796,0.9330595812600387,-0.17897039448247543,1.7114913952181914,-0.04447367251533339,0.06859885478470062,1.333645371203624,2.1700977662831797,1.8173787074386034,2.2203343973620777,-0.10968640871861177,-0.4429041370031573,-0.5436246595127662,-0.20430592992272045,-0.08223486640042169,-0.43831536139313376,-0.25735988004027227,-0.6523732124528753,0.008368462346695284,-0.7638950756658629,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,46.5
66,0.6305075363696214,1.5973545461655136,2.1241516437135526,1.715351825700758,1.6566155749330618,2.3254916456098873,1.038170761375751,1.8421953116569263,0.9272794490762571,1.2627326668574363,1.418098863269932,0.5620350791606105,0.7021122884511354,0.7784286298131118,3.2319367473357126,0.5665281673897082,1.311374462277487,1.346619377554901,1.4987296045053449,0.21899965065298344,1.7114913952181914,0.07061528931809795,0.5517820513378554,2.152796375544486,2.2410310870722707,0.7334631623571528,2.133007743018486,-0.16003436290575618,-0.30431339109481287,-0.07334789258720059,-0.6000190918953511,-0.5555567270011122,-0.31700971900705555,-0.13977077635313978,-0.1506933898881377,0.6771566877494187,-0.05949674160173911,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
67,0.41598105696242565,1.2160895816521258,1.2020408472906072,0.10354872548122156,2.132744086060472,2.6646955895609956,1.831119362557642,2.0598147882352085,1.9581491752050488,2.24197826985925,1.8974179862078986,0.8967534946319283,0.2926886387631214,1.7950398393919007,2.4585339916478026,1.5566990257044526,1.1371831967038777,0.8393169089415593,0.7445029068449367,-0.4973464305908425,1.6595371315765606,0.07061528931809795,1.5181484444441649,1.4872361845175357,2.311964407861362,1.689859231546668,2.3076610517056695,0.9979685833985652,0.7120187455663793,0.9142333179564871,-0.6000190918953511,-0.31889579670076695,-0.559621003779212,-0.43374353557097106,-0.20643559239533077,0.23129787081426975,-0.7638950756658629,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45.5
68,0.8450340157768172,1.5973545461655136,2.1241516437135526,-0.18427325670083855,1.860670651130523,2.6646955895609956,1.6725296423212639,2.2774342648134906,2.3590429575884677,1.458581787457799,1.6577584247389152,1.432302959386037,1.3844850379311586,1.523943516837557,2.78999231551405,1.2030665763063295,1.8920120141895187,0.41656485176377456,0.6187984572348687,0.13940564162589167,2.023216977067976,-0.3897405580156274,0.16523549409533156,1.9480086244592705,2.311964407861362,2.5824955627902155,2.2203343973620777,-0.008990500344322945,-0.5352979676087202,-0.026320215894644037,-0.26083638163309625,-0.25973056412568063,-0.19570407662097733,-0.19856532819670603,-0.31791999740971694,-1.5298444560795639,-0.57178643910292,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,43.5
89,1.0595604951840132,0.1267611116138746,0.4336151836048194,1.888045015009994,1.1124687050731648,0.7990738978298986,-0.23054700051527488,0.1556443681752384,-0.21813135773351147,1.2627326668574363,0.6991201788629825,-0.5090638503476068,-0.2532095608208972,0.03291374278866671,1.9061034518707238,-0.14073673140653775,0.7888006655566586,2.2766739033460275,0.2416851084046646,1.1741277589780847,0.4645890678190525,2.0271276404864307,1.8080583623760578,0.05372192692102726,-0.028835178178652627,-0.2229329068323625,1.8710277799877109,1.8035358503928758,1.7283508822275715,1.8077591751150617,-0.26083638163309625,-0.6738871921512849,-0.49896818258617287,-0.3161544318838385,-0.26217779490252385,0.4542272792818442,0.8370102290253276,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.5
90,0.8450340157768172,1.8696866636750764,1.7143246230811326,0.5064995005361057,2.132744086060472,1.64708375770767,1.1967604816121291,2.2774342648134906,2.7026661996313983,2.24197826985925,1.5379286440044238,-0.9107259489131884,-1.481480509884939,0.16846190406583855,1.795617343915308,0.5665281673897082,1.311374462277487,-1.1898929655118073,0.9330595812600387,0.5373756867613505,1.815399922501453,0.12815977023481362,1.6631034034101113,1.5896300600601434,2.311964407861362,2.1999371351144097,1.6963744713005273,1.098664491772854,0.9430033220802867,0.6790949344937043,-0.6565495436057269,-0.4372262618509396,-0.25635689781401644,-0.13977077635313978,-0.48514660493129613,0.4542272792818442,-0.18756916597703435,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.0
91,0.8450340157768172,0.7803581936368252,1.8167813782392377,1.888045015009994,1.724633933665549,1.8166857296832244,1.4082134419273,1.0261222744883676,1.6717964735026067,1.7849969884584036,1.5379286440044238,0.5620350791606105,0.5656377385551307,0.3717841459815963,2.4585339916478026,0.14216922811196064,1.6016932382335027,2.1075730804749133,1.812990728530515,1.2537217680051764,1.7114913952181914,1.451682831319274,1.6631034034101113,1.743220873374055,1.7444978415486314,1.4348202797627974,1.8710277799877109,1.4007522168957205,1.5435632210164456,1.2904547314969395,-0.03471457479159305,-0.023069633825335365,-0.31700971900705555,-0.6101271911016698,-0.48514660493129613,0.4542272792818442,-0.57178643910292,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0
92,0.6305075363696214,-2.0518958284626274,-1.7179766747153866,-2.083898339102435,-1.8123207204237821,-1.6318877004863797,-2.3450766036669846,-1.694121182740161,-1.6498948662457222,-1.0874567803469164,-2.176794558764816,-0.9107259489131884,-1.2085314100929296,-0.5770529829586065,2.237561775736971,-0.9187281200824083,-2.346642114768312,0.5011152631993315,-1.1410638373060837,-0.01978237642829188,-1.7174900051294406,-0.9076408862660684,-1.52590569384071,-1.8405647706172161,-0.38350178212410946,-1.94444583137349,0.5611279648338345,-1.368385263397222,-1.5978270195726938,-1.5782335467490105,3.8658865932243374,3.8226704835552754,3.3221595525752914,4.034642404540064,3.9184873931369566,1.5688743216197139,2.0536982605906324,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32.0
